Game Title;Front Page Info (Size/Version);Front Page Info (Genre/Publisher);Detail URL;ROM Format;File Size;Mirror Hoster;Redirect URL;Final Direct Link;Link Status;HTTP Code;Check Detail;Checked At
Diablo III: Eternal Collection;N/A;N/A;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/;DLC Russian Language Pack;5.6 GB;Send.cm;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/?download=28;https://send.cm/68f0t189ukh0;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Diablo III: Eternal Collection;N/A;N/A;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/;DLC French Language Pack;5.3 GB;1fichier;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/?download=32;https://1fichier.com/?o1p9dwo6uqfsd6h5pglf;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Diablo III: Eternal Collection;N/A;N/A;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/;DLC French Language Pack;5.3 GB;Up-4ever;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/?download=33;https://www.up-4ever.net/izgfo3cimn23;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Love is all around;N/A;N/A;https://switchroms.io/love-is-all-around-nsp-xci-switch-rom/;NSP ROM;6.6 GB;1fichier;https://switchroms.io/love-is-all-around-nsp-xci-switch-rom/?download=1;https://1fichier.com/?q2t9ukf9afth11e21loj;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Love is all around;N/A;N/A;https://switchroms.io/love-is-all-around-nsp-xci-switch-rom/;NSP ROM;6.6 GB;Send.cm;https://switchroms.io/love-is-all-around-nsp-xci-switch-rom/?download=2;https://send.cm/k8i5hszzkkuh;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Love is all around;N/A;N/A;https://switchroms.io/love-is-all-around-nsp-xci-switch-rom/;NSP ROM;6.6 GB;Up-4ever;https://switchroms.io/love-is-all-around-nsp-xci-switch-rom/?download=3;https://www.up-4ever.net/u3hjp1j7pzgh;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Clubhouse Games: 51 Worldwide Classics;N/A;N/A;https://switchroms.io/clubhouse-games-51-worldwide-classics-nsp-xci-switch-rom/;NSP ROM;2.0 GB;1fichier;https://switchroms.io/clubhouse-games-51-worldwide-classics-nsp-xci-switch-rom/?download=1;https://1fichier.com/?gffvbw6e9qtuorupp2i9;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Clubhouse Games: 51 Worldwide Classics;N/A;N/A;https://switchroms.io/clubhouse-games-51-worldwide-classics-nsp-xci-switch-rom/;NSP ROM;2.0 GB;Up-4ever;https://switchroms.io/clubhouse-games-51-worldwide-classics-nsp-xci-switch-rom/?download=2;https://www.up-4ever.net/k6zjryt2ambw;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Clubhouse Games: 51 Worldwide Classics;N/A;N/A;https://switchroms.io/clubhouse-games-51-worldwide-classics-nsp-xci-switch-rom/;NSP ROM;2.0 GB;Send.cm;https://switchroms.io/clubhouse-games-51-worldwide-classics-nsp-xci-switch-rom/?download=3;https://send.cm/smb1xjv6ghu8;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Clubhouse Games: 51 Worldwide Classics;N/A;N/A;https://switchroms.io/clubhouse-games-51-worldwide-classics-nsp-xci-switch-rom/;NSP ROM;2.0 GB;File-upload;https://switchroms.io/clubhouse-games-51-worldwide-classics-nsp-xci-switch-rom/?download=4;https://www.file-upload.org/8mihcmg17usp;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
